path	remote	branch	head	dirty
development/edge-api-gateway	https://github.com/EVNSolution/edge-api-gateway	main	6ed6ed78537ff2f0c6e00843745b1af4db4afca9	dirty
development/front-driver-app	https://github.com/EVNSolution/front-driver-app.git	main	4e5aa4c26d7ae2d68fd0f75a8089ec5e90b15ef3	dirty
development/front-web-console	https://github.com/EVNSolution/front-web-console	main	fdda7453f2c575ca5ff138eab5aaebd76ed6a4ec	dirty
development/runtime-prod-platform	https://github.com/EVNSolution/runtime-prod-platform	feat/service-settlement-inquiry-onboarding	1e4b2367c97ee0ad5b70de7218682d1dd08eddb0	dirty
development/runtime-prod-release	https://github.com/EVNSolution/runtime-prod-release	feat/service-settlement-inquiry-onboarding	3eee874101cbcf21cb6af1654fd0005bb501f9c0	clean
development/service-account-access	https://github.com/EVNSolution/service-account-access	main	270fe81178a87f2662530ec296bb8585ebd0ad5e	dirty
development/service-announcement-registry	https://github.com/EVNSolution/service-announcement-registry	main	2b150e096758e447bc42e0003346a0fe636b5790	dirty
development/service-attendance-registry	https://github.com/EVNSolution/service-attendance-registry	main	77ef3912ce7f26d5f1a9836e2f6e1c51fdea1fbf	clean
development/service-delivery-record	https://github.com/EVNSolution/service-delivery-record	main	08506e70d3a1441f098e45b9df86f9c266b7e36a	clean
development/service-dispatch-operations-view	https://github.com/EVNSolution/service-dispatch-operations-view	main	0e25dffee89823c62d63ffe4997b632d830d68ab	clean
development/service-dispatch-registry	https://github.com/EVNSolution/service-dispatch-registry	main	e39f471ab81e75a917dd367d689bf1653785a799	dirty
development/service-driver-operations-view	https://github.com/EVNSolution/service-driver-operations-view	main	f110acbc605986075792e1c4a25098cd75d3331e	dirty
development/service-driver-profile	https://github.com/EVNSolution/service-driver-profile	main	f485c36cb5b0a74692379eb9581f7279518808db	dirty
development/service-notification-hub	https://github.com/EVNSolution/service-notification-hub	main	89890120265ce0906d77cbcfa09b52842634170d	dirty
development/service-organization-registry	https://github.com/EVNSolution/service-organization-registry	main	2370d5a20de27aca93d96e0319c65bf17bf0c9d8	dirty
development/service-personnel-document-registry	https://github.com/EVNSolution/service-personnel-document-registry	main	8374b15607a8d63270c6adce8714f3c599230b1e	dirty
development/service-region-analytics	https://github.com/EVNSolution/service-region-analytics	main	691d5f10efce486121dc4e50e01da951565c3c26	dirty
development/service-region-registry	https://github.com/EVNSolution/service-region-registry	main	4484ad554b9d7185d4779e0ec9a09801c18fe354	dirty
development/service-settlement-inquiry	https://github.com/EVNSolution/service-settlement-inquiry	feat/service-settlement-inquiry-onboarding	972a98b4658c12c15805bb5bb91873ce98bf0833	clean
development/service-settlement-operations-view	https://github.com/EVNSolution/service-settlement-operations-view	main	706c4a400a79714ff65d216cb23d98a75ccafe5e	dirty
development/service-settlement-payroll	https://github.com/EVNSolution/service-settlement-payroll	main	f4955fb7b74f17eb24282d096c766449758e6b1b	dirty
development/service-settlement-registry	https://github.com/EVNSolution/service-settlement-registry	main	48ba3694eaa0cc0cf8505b279b3700c2abe68e66	dirty
development/service-support-registry	https://github.com/EVNSolution/service-support-registry	main	6a28f061dff835ddeb07ff007c6269dc44404872	dirty
development/service-telemetry-dead-letter	https://github.com/EVNSolution/service-telemetry-dead-letter	main	bd025322d695e2aeae3e0e90b4ec0b28e2f8b6a7	clean
development/service-telemetry-hub	https://github.com/EVNSolution/service-telemetry-hub	main	620d4f303f5f657eb308c6b1459ac07b75038691	clean
development/service-telemetry-listener	https://github.com/EVNSolution/service-telemetry-listener	main	2868892f5b28269d7ec8af89c34f74ef10ef7159	clean
development/service-terminal-registry	https://github.com/EVNSolution/service-terminal-registry	main	903d6d002b8b7ac460df5b330ec1e738ccb76d40	clean
development/service-vehicle-assignment	https://github.com/EVNSolution/service-vehicle-assignment	main	5ec6d7f8b8dddfeb55fe078b20937cdb7dc3fbc7	dirty
development/service-vehicle-operations-view	https://github.com/EVNSolution/service-vehicle-operations-view	main	71a66f1c474afc6409f3e5e38d31faca2f90ef32	clean
development/service-vehicle-registry	https://github.com/EVNSolution/service-vehicle-registry	main	fda45c89cb9238b1711d7463054e01535453dc6b	dirty
